,,,,,,lat,long,http://www.latlong.net/convert-address-to-lat-long.html
,columbia,http://www.astro.columbia.edu/,,"Columbia University
Mail Code 5246
550 West 120th Street
New York, New York 10027","New York, New York 10027",40.813891,-73.962433,
,McGill U,http://www.astro.physics.mcgill.ca/index.php,,"Rutherford Physics Building
3600 rue University
Montreal, QC H3A 2T8","Montreal, QC H3A 2T8",45.506962,-73.578265,
,SUNY Stony Brook,http://www.astro.sunysb.edu/,,"Dept. of Physics and Astronomy • SUNY Stony Brook • Stony Brook, NY 11794-3800","Stony Brook, NY 11794-3800",40.918301,-73.1175,
,Yale U,http://www.astro.yale.edu/,,"Astronomy Department
Steinbach Hall
Yale University
52 Hillhouse Avenue
New Haven, CT 06511","New Haven, CT 06511",41.321291,-72.928339,
gre&toefl/jan15,U Mass Amherst,http://www.astro.umass.edu/,,"© 2016 University of Massachusetts Amherst • Amherst, MA 01003","Amherst, MA 01003",42.395656,-72.521962,
,U Laval,http://www.astro.phy.ulaval.ca/,,"Pavillon Alexandre-Vachon 
Québec (Québec) G1V 0A6 CANADA ",Québec (Québec) G1V 0A6 CANADA ,46.780321,-71.276816,
,Harvard,http://astronomy.fas.harvard.edu/,,"Harvard Astronomy Department
60 Garden Street, MS 46
Cambridge, MA 02138

Phone: 617-495-3752
Fax: 617-495-7008","Cambridge, MA 02138",42.380327,-71.13891,
,Tufts University,http://cosmos.phy.tufts.edu/index.html,,"Department of Physics and Astronomy, Tufts University 
Robinson Hall, 212 College Avenue, Medford, MA 02155","Medford, MA 02155",42.405882,-71.117333,
,Boston U,http://www.bu.edu/astronomy/,,"725 Commonwealth Avenue, Boston, MA 02215
Phone: 617/353-2625; FAX: 617/353-5704","Boston, MA 02215",42.347618,-71.100288,
,MIT,http://space.mit.edu/,,"77 MASSACHUSETTS AVENUE, 37-241, CAMBRIDGE, MA 02139","CAMBRIDGE, MA 02139",42.359254,-71.093134,
,U Maine,http://www.physics.umaine.edu/,,"120 Bennett Hall
Orono, Maine 04469","Orono, Maine 04469",44.902942,-68.668481,
,Saint Mary's U,http://www.smu.ca/academics/departments/astronomy-and-physics.html,,"923 Robie Street,
Halifax, Nova Scotia
Canada, B3H 3C3","Halifax, Nova Scotia
Canada, B3H 3C3",44.630719,-63.57816,
,"IAC, Canaries",http://www.iac.es/index.php?lang=en,,E38205 - La Laguna (Tenerife). España,E38205 - La Laguna (Tenerife). España,28.484511,-16.34342,
,U Lisboa,http://centra.tecnico.ulisboa.pt/,,"Pavilhão de Física, 4º Piso
Av. Rovisco Pais 1
1049-001 Lisboa, PORTUGAL","Pavilhão de Física, 4º Piso
Av. Rovisco Pais 1
1049-001 Lisboa, PORTUGAL",38.736996,-9.139917,
,,http://www.astro.up.pt/caup/index.php?Lang=uk,,"Centro de Astrofísica da Universidade do Porto 
Rua das Estrelas 
4150-762 Porto, Portugal","4150-762 Porto, Portugal",41.150573,-8.639676,
,U Glasgow,http://www.astro.gla.ac.uk/,,"Kelvin Building, University of Glasgow, Glasgow, G12 8QQ","Glasgow, G12 8QQ",55.87151,-4.288761,
,,http://www.iaa.es/,,"Glorieta de la Astronomía, s/n. E-18008, Granada","Glorieta de la Astronomía, s/n. E-18008, Granada",37.162095,-3.590096,
,Cardiff,http://www.astro.cardiff.ac.uk/,,"Cardiff University
Queen's Buildings
The Parade
Cardiff
CF24 3AA","Cardiff
CF24 3AA",51.484655,-3.169529,
,U of St.Andrews,http://star-www.st-and.ac.uk/astronomy/,,"School of Physics & Astronomy
University of St Andrews
North Haugh
St Andrews 
KY16 9SS
Scotland","St Andrews 
KY16 9SS
Scotland",56.34015,-2.807484,
,Lancaster U,http://www.physics.lancs.ac.uk/research/capg/index.html,,"Physics Department
Lancaster University
Lancaster
United Kingdom
LA1 4YB","Lancaster
United Kingdom
LA1 4YB",54.010672,-2.787432,
,durham,http://astro.dur.ac.uk/,,"Department of Physics,
Durham University,
South Road,
Durham DH1 3LE",Durham DH1 3LE,54.762384,-1.574947,
,Soton,http://www.astro.soton.ac.uk/,,"School of Physics & Astronomy        
University of Southampton        
Southampton, Hampshire
SO17 1BJ","School of Physics & Astronomy        
University of Southampton        
Southampton, Hampshire
SO17 1BJ",50.934189,-1.395685,
,Oxford,http://www2.physics.ox.ac.uk/research/astrophysics,,"Clarendon Laboratory,
Parks Road,
Oxford
OX1 3PU","Oxford
OX1 3PU",51.759509,-1.25731,
,U Nottingham,http://www.nottingham.ac.uk/astronomy/,,"The Centre for Astronomy & Particle Theory
The School of Physics & Astronomy 
University of Nottingham 
University Park 
Nottingham NG7 2RD, UK","Nottingham NG7 2RD, UK",52.94125,-1.186481,
,U Hertfordshire,http://www.herts.ac.uk/research/stri/research-areas/car,,"University of Hertfordshire
Hatfield
Hertfordshire
AL10 9AB
UK","Hertfordshire
AL10 9AB
UK",51.751791,-0.240108,
,Imperial,http://astro.ic.ac.uk/,,"Astrophysics Group
Imperial College London
Blackett Laboratory
Prince Consort Road
London SW7 2AZ
United Kingdom","London SW7 2AZ
United Kingdom",51.499845,-0.17721,
,"UCL, london",http://www.ucl.ac.uk/star/,,University College London - Gower Street - London - WC1E 6BT,London - WC1E 6BT,51.524706,-0.133569,
,King's college,http://www.kcl.ac.uk/nms/depts/physics/index.aspx,, Strand | London WC2R 2LS | England | United Kingdom,London WC2R 2LS | United Kingdom,51.511139,-0.119413,
,U Sussex,http://www.sussex.ac.uk/astronomy/,,"University of Sussex
Sussex House, Falmer
Brighton, BN1 9RH
United Kingdom","Brighton, BN1 9RH
United Kingdom",50.86447,-0.087076,
,Cambridge,http://www.ast.cam.ac.uk/,,"Institute of Astronomy, University of Cambridge, Madingley Road, Cambridge CB3 0HA",Cambridge CB3 0HA,52.214532,0.095328,
,"Kavli Institute for Cosmology, Cambridge",http://www.kicc.cam.ac.uk/,,"Kavli Institute for Cosmology, University of Cambridge, Madingley Road, Cambridge CB3 0HA",Cambridge CB3 0HA,52.214532,0.095328,
,,http://www.irap.omp.eu/en,," 14, avenue Edouard Belin - 31400 TOULOUSE "," 14, avenue Edouard Belin - 31400 TOULOUSE ",43.561119,1.47824,
,,http://www.obs-mip.fr/,,14 Avenue Edouard Belin - 31400 TOULOUSE ,14 Avenue Edouard Belin - 31400 TOULOUSE ,43.561119,1.47824,
,,http://icc.ub.edu/,,"Institut de Ciències del Cosmos
Martí i Franquès, 1
E-08028 Barcelona","Institut de Ciències del Cosmos
Martí i Franquès, 1
E-08028 Barcelona",41.379088,2.12784,
,,http://www.ias.u-psud.fr/,,"IAS - Space Astrophysics Institute  
of Paris Sud University, Building 121 
91405 Orsay FRANCE",91405 Orsay FRANCE,48.697161,2.189617,
,Paris Observatory,http://www.obspm.fr/,,"Observatoire de Paris
61 avenue de l’Observatoire 
75014 Paris, France ","75014 Paris, France ",48.835862,2.336433,
,,http://www.astro.ulb.ac.be/pmwiki/IAA/HomePage,,"CP226 
Boulevard du Triomphe
B-1050 Brussels
Belgium","B-1050 Brussels
Belgium",50.82215,4.401204,
,Leiden Uni,https://www.strw.leidenuniv.nl/,,"P.O. Box 9513
NL-2300 RA  Leiden
The Netherlands","NL-2300 RA  Leiden
The Netherlands",52.158046,4.481197,
,U. Groningen,http://www.rug.nl/research/kapteyn/,,"9700 AV Groningen
the Netherlands","9700 AV Groningen
the Netherlands",51.775217,4.614996,
,KU Leuven,http://www.kuleuven.be/english/admissions/phd/index,,"Atrechtcollege
Naamsestraat 63, box 5410
B-3000 Leuven ",B-3000 Leuven ,50.88152,4.696758,
,Lyon Obs,http://lio.universite-lyon.fr/,," 9, avenue Charles André - 69230 SAINT GENIS LAVAL"," 9, avenue Charles André - 69230 SAINT GENIS LAVAL",45.693886,4.782996,
,Lyon Obs,http://www-obs.univ-lyon1.fr/,,"École Normale Supérieure de Lyon
46 allée d'Italie
69364 Lyon cedex 07",69364 Lyon cedex 07,45.729789,4.82838,
,U Amsterdam,http://www.astro.uva.nl/institute/,,1090 GE Amsterdam ,1090 GE Amsterdam ,52.370216,4.895168,
,,https://www.labex-ocevu.univ-amu.fr/?q=en/node/166/,,"Labex OCEVU (Origines, Constituants et EVolution de l'Univers)
Centre de physique des particules de Marseille (CPPM)
163, avenue de Luminy
13288 Marseille cedex 9",13288 Marseille cedex 9,43.23943,5.43809,
,Radboud U,"https://www.astro.ru.nl/en, http://www.ru.nl/imapp/",,"Heyendaalseweg 135, 6525 AJ Nijmegen",6525 AJ Nijmegen,51.823781,5.869838,
,U Geneva,http://www.unige.ch/sciences/LaRecherche/DomainesDeRecherche/Astronomie.html,,"30, quai Ernest Ansermet- 
1211 Geneva 4","30, quai Ernest Ansermet- 
1211 Geneva 4",46.19804,6.132416,
,,http://isdc.unige.ch/,,"Chemin d'Ecogia 16
CH-1290 Versoix
Switzerland","Chemin d'Ecogia 16
CH-1290 Versoix
Switzerland",46.290458,6.150582,
,ASTRON,http://www.astron.nl/,,"Oude Hoogeveensedijk 4
7991 PD Dwingeloo
The Netherlands","7991 PD Dwingeloo
The Netherlands",52.813358,6.396031,
,U Koeln,http://www.astro.uni-koeln.de/,,"I. Physikalisches Institut
Universität zu Köln
Zülpicher Straße 77
50937 Köln","I. Physikalisches Institut
Universität zu Köln
Zülpicher Straße 77
50937 Köln",50.926048,6.932673,
,U. Bonn,https://astro.uni-bonn.de/,,"Argelander-Institut für Astronomie
Auf dem Hügel 71
D-53121 Bonn",D-53121 Bonn,50.72995,7.06931,
,Max Planck for Radio Astronomy,http://www.mpifr-bonn.mpg.de/2169/en,,"Auf dem Hügel 69
D-53121 Bonn (Endenich)","Auf dem Hügel 69
D-53121 Bonn (Endenich)",50.73009,7.06957,
,Ruhr U Bochum,https://www.astro.rub.de/Astronomie/index_en.html,,"44780 Bochum 
Germany","44780 Bochum 
Germany",51.430436,7.193527,
,"CDS, strassburg",http://astro.unistra.fr/,,11 rue de l'Université - 67000 Strasbourg,11 rue de l'Université - 67000 Strasbourg,48.582949,7.766506,
,,http://www.etap.physik.uni-mainz.de/index_ENG.php,,"Institut für Physik 
Johannes Gutenberg-Universität 
Staudinger Weg 7 
D-55099 Mainz 
Germany ","D-55099 Mainz 
Germany ",49.992862,8.247253,
,eth,http://www.astro.ethz.ch/,,"Wolfgang-Pauli-Str. 27
8093 Zürich
Switzerland","8093 Zürich
Switzerland",47.410228,8.508417,
,"ZAH, U. Heidelberg",https://zah.uni-heidelberg.de/zah/?no_cache=1,,"Zentrum für Astronomie der Universität Heidelberg (ZAH)
Albert-Ueberle-Str. 2
D-69120 Heidelberg
Germany","D-69120 Heidelberg
Germany",49.414133,8.694596,
,Max Planck Institute for Astronomy,http://www.mpia.de/en,,"Max-Planck-Institut für Astronomie
Königstuhl 17
D-69117 Heidelberg
Germany","D-69117 Heidelberg
Germany",49.395382,8.723552,
,Heidelberg Institute for Theoretical Studies,http://www.h-its.org/english/homes/springel/index.php,,"Schloss-Wolfsbrunnenweg 35
69118 Heidelberg
Germany","69118 Heidelberg
Germany",49.41539,8.7371,
,U Tuebingen,"http://www.uni-tuebingen.de/en/faculties/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/physics/institutes/astronomy-astrophysics/institute.html, http://www.kepler.uni-tuebingen.de/",,"Geschwister-Scholl-Platz
72074 Tübingen",72074 Tübingen,48.361966,9.27586,
,DESY Hamburg,http://astro.desy.de/,,"Notkestraße 85
D-22607 Hamburg","Notkestraße 85
D-22607 Hamburg",53.573509,9.880394,
,U Goettingen,http://www.uni-goettingen.de/en/203293.html,,"Institut für Astrophysik
Friedrich-Hund-Platz 1
37077 Göttingen",37077 Göttingen,51.558114,9.946945,
,Max Planck for Solar Science,http://www.mps.mpg.de/2169/en,,"Max Planck Institute for
Solar System Research
Justus-von-Liebig-Weg 3
37077 Göttingen",37077 Göttingen,51.559533,9.950848,
,u weurzberg,http://www.astro.uni-wuerzburg.de/en?set_language=en,,"Campus Hubland Nord
Emil-Fischer-Str. 31
D-97074 Würzburg
Germany","D-97074 Würzburg
Germany",49.780136,9.964735,
,Aarhus U,http://sac.au.dk/,,"Aarhus University
Nordre Ringgade 1
DK-8000 Aarhus C",DK-8000 Aarhus C,56.146046,10.202726,
,U Hamburg,http://www.hs.uni-hamburg.de/index.php?lang=en,,"Hamburger Sternwarte
Gojenbergsweg 112
21029 Hamburg",21029 Hamburg,53.48019,10.23938,
,U Oslo,http://www.mn.uio.no/astro/english/,,"Sem Sælands vei 13
0371 OSLO
Norway","0371 OSLO
Norway",59.938621,10.717736,
,LMU,http://www.en.physik.uni-muenchen.de/research/specialties/astrophysics/index.html,,"Ludwig-Maximilians-University Munich
Geschwister-Scholl-Platz 1 
80539 München ",80539 München ,48.15069,11.58036,
,"USM, Munich",http://www.usm.uni-muenchen.de/index_en.php,,"Scheinerstraße 1, D-81679 München, Germany","D-81679 München, Germany",48.14602,11.60674,
,,http://www.mpa-garching.mpg.de/SNIa/index.html,,"Karl-Schwarzschild-Str. 1
Postfach 1317
D-85741 Garching, Germany","D-85741 Garching, Germany",48.248872,11.653248,
,Max Planck Institute for Extragalactic Physics,http://www.mpe.mpg.de/214514/heg,,"Giessenbachstrasse 1
85748 Garching","Giessenbachstrasse 1
85748 Garching",48.261625,11.673473,
